663,колбаса кровяная,г
664,колбаса полукопченая,г
665,колбаса сырокопченая,г
666,колбаска свиная свежая (salsiccia),шт.
667,колбаски,г
668,колбаски для жарки,г
669,колбаски домашние,шт.
670,колбаски охотничьи,г
671,колбаски сырокопченые,шт.
672,компот,г
673,конопляное масло,ст. л.
674,конопля семена,г
675,конфеты,по вкусу
676,конфеты M&M’s,г
677,конфеты жевательные лакричные,г
678,конфеты Коровка,г
679,конфеты Трюфель,г
680,конфитюр,по вкусу
681,конфитюрка,упаковка
682,коньяк,г
683,копчености,г
684,коренья,по вкусу
685,кориандр,г
686,кориандр зелень,г
687,кориандр молотый,г
688,кориандр семена,г
689,коринка,ст. л.
690,корица,г
691,корица молотая,г
692,корнишоны,г
693,корнишоны маринованые,г
694,корюшка,г
695,корюшка горячего копчения,г
696,кости,г
697,кости мозговые,г
698,кость сахарная,г
699,кофе в зернах,стакан
700,кофе зеленый,г
701,кофейные зерна в шоколаде,г
702,кофейный ликер,г
703,кофейный ликер Kahlua,мл
704,кофейный напиток,мл
705,кофейный сироп,г
706,кофейный экстракт,мл
707,кофе молотый,ст. л.
708,кофе растворимый,г
709,кофе свежесваренный,г
710,кофе черный,г
711,кофе эспрессо,стакан
712,крабовое мясо,г
713,крабовые палочки,по вкусу
714,краб снежный,по вкусу
715,крабы,г
716,крапива,г
717,краситель-гель пищевой,шт.
718,краситель пищевой,г
719,краситель пищевой вишневый,щепотка
720,краситель пищевой желтый,г
721,краситель пищевой зеленый,ст. л.
722,краситель пищевой красный,г
723,краситель пищевой оранжевый,г
724,краситель пищевой фиолетовый,г
725,краситель пищевой черный,г
726,красная смородина,г
727,"красная смородина, протертая с сахаром",ст. л.
728,красноперка,шт.
729,красносмородиновое варенье,г
730,красный винный соус,г
731,крахмал,г
732,креветки,г
733,креветки замороженные,г
734,креветки королевские,г
735,креветки очищенные,г
736,креветки очищенные в рассоле,г
737,креветки салатные,г
738,креветки сушеные,г
739,креветки тигровые,г
740,крекер,г
741,крекер соленый,г
742,крем заварной,г
743,крем заварной порошковый,г
744,крем-фреш,г
745,кресс-салат,г
746,кровь,мл
747,кролик,г
748,кролик тушка,г
749,кролик филе,г
750,кроличья печень,г
751,круассаны,по вкусу
752,крутоны мелкие,г
753,крыжовник,г
754,крыжовниковое варенье,банка
755,кукуруза,г
756,кукуруза замороженная,г
757,кукуруза консервированная,г
758,кукуруза обжаренная кикос,г
759,кукурузная крупа,г
760,кукурузная мука,г
761,кукурузное масло,г
762,кукурузные лепешки,шт.
763,кукурузные палочки,г
764,кукурузные хлопья,г
765,кукурузные хлопья глазированные,г
766,кукурузные чипсы,г
767,кукурузный (золотой) сироп,г
768,кукурузный крахмал,по вкусу
769,кумин,г
770,кумкваты,горсть
771,кунжут,г
772,кунжутная мука,г
773,кунжутная паста,г
774,кунжутное масло,г
775,кунжутные семечки,по вкусу
776,кунжут черный,ч. л.
777,купаты,шт.
778,курага,по вкусу
779,курдючное сало,г
780,курдючный жир,г
781,куриная ветчина,г
782,куриная кожа,г
783,куриная печень,г
784,куриное карпаччо,г
785,куриное филе,г
786,куриные бедра,г
787,куриные голени,г
788,куриные голени копченые,шт.
789,куриные грудки,г
790,куриные грудки вареные,г
791,куриные грудки копченые,г
792,куриные желудочки,шт.
793,куриные кости,г
794,куриные крылья,г
795,куриные окорочка,г
796,куриные окорочка копченые,г
797,куриные потрошки,г
798,куриные сердечки,г
799,куриный бульон,г
800,куриный паштет,г
801,куриный суповой набор,кг
802,куриный фарш,г
803,курица,г
804,курица вареная,г
805,курица для жарки,кг
806,курица копченая,г
807,курица тушка,г
808,куркума,г
809,куропатки,г
810,кускус,г
811,кускус жемчужный,стакан
812,кэроб,г
813,лаванда,г
814,лаванда сушеная,щепотка
815,лавандовый краситель,ч. л.
816,лаваш,по вкусу
817,лаваш армянский,г
818,лаваш персидский круглый,г
819,лаваш тонкий,пласт
820,лавровые листья свежие,шт.
821,лавровый лист,г
822,лайм,г
823,лайм листья,шт.
824,лаймовая цедра,г
825,лаймовый сок,г
826,лангустины,шт.
827,лапша,г
828,лапша для лагмана,упаковка
829,лапша ширатаки,г
830,лапша яичная в гнездах,шт.
831,латук,г
832,легкие,г
833,лед,г
834,леди-фиш тушка,шт.
835,лемонграсс (лимонное сорго),г
836,лен семена,г
837,лепешки,г
838,лепешки арабские,шт.
839,лесные орехи,г
840,лечо,г
841,ливер,г
842,ликер,г
843,ликер Alchermes,г
844,ликер Amaretto,г
845,ликер Baileys,г
846,ликер Cointreau,г
847,ликер кремовый,г
848,ликер сливочный,г
849,лимонад,г
850,лимонная кислота,г
851,лимонная цедра,г
852,лимонник стебель,г
853,лимонник ягоды,г
854,лимонные корочки засахаренные,г
855,лимонные цукаты,г
856,лимонный сок,г
857,лимонный уксус,г
858,лимонный экстракт,г
859,лимончелло,г
860,лимоны,г
861,лимоны сушеные,
862,лингвине,шт.
863,лисички,г
864,лисички сушеные,г
865,личи,шт.
866,личи компот,г
867,лобстер,г
868,лонган,г
869,лонгконг,шт.
870,лососевые молоки,г
871,лососевый фарш,г
872,лосось,г
873,лосось горячего копчения,г
874,лосось копченый,г
875,лосось свежесоленый,г
876,лосось свежий,г
877,лосось свежий филе,г
878,лосось слабосоленый,г
879,лосось стейки,г
880,лосось филе,г
881,лосось филе на коже,г
882,лосось холодного копчения,г
883,лосятина,кг
884,лук белый,по вкусу
885,лук зеленый,г
886,лук красный,по вкусу
887,лук маринованный,г
888,луковая шелуха,г
889,луковый порошок,г
890,лук-порей,горсть
891,лук-резанец,по вкусу
892,лук репчатый,г
893,лук репчатый мелкий,г
894,лук салатный,шт.
895,лук сушеный,г
896,лук-шалот,г
897,лук-шалот красный,шт.
898,льняная мука,г
899,льняное масло,ч. л.
900,льняное семя,г
901,льняное семя молотое,г
902,любисток,г
903,маасдам,г
904,мадера,г
905,майонез,г
906,майонез домашний,г
907,майонез легкий,г
908,майонезный соус «Слобода» Постный,г
909,майонез оливковый,г
910,майонез «Слобода» Легкий,г
911,майонез «Слобода» На перепелиных яйцах,г
912,майонез «Слобода» Оливковый,г
913,майонез «Слобода» Провансаль,г
914,майонез «Слобода» С лимонным соком,г
915,майонез «Слобода» Сметанный,г
916,майоран,г
917,майоран свежий,по вкусу
918,майоран сушеный,г
919,мак,г
920,макаронные изделия,г
921,макаронные изделия мелкие,г
922,макароны,г
923,макароны-бабочки (farfalle),г
924,макароны-бабочки (farfalle) мини,г
925,макароны баветте,г
926,макароны-бантики,г
927,макароны букатини,г
928,макароны джильи,г
929,макароны диталони,г
930,макароны-звездочки,стакан
931,макароны орзо,г
932,макароны-ракушки (conchiglie),г
933,макароны-ракушки (conchiglie rigate),г
934,макароны-ракушки крупные,г
935,макароны рисони,г
936,макароны-рожки (pipe rigate),г
937,макароны-спиральки (fusilli),г
938,макароны-ушки (orecchiette),г
939,маккерончини,г
940,мак молотый,г
941,маковая масса,пачка
942,малина,г
943,малина замороженная,г
944,"малина, протертая с сахаром",стакан
945,малина сушеная,г
946,малиновое варенье,г
947,малиновое желе,г
948,малиновое пюре,г
949,малиновый джем,г
950,малиновый крем,г
951,малиновый сироп,ч. л.
952,малиновый соус,ч. л.
953,малиновый уксус,мл
954,малиновый чай,г
955,манго,по вкусу
956,манговый сироп,мл
957,манго консервированное,г
958,мангольд,г
959,мангустин,шт.
960,мандариновое пюре,г
961,мандариновые цукаты,г
962,мандариновый сок,г
963,мандарины,по вкусу
964,мандарины в собственном соку,г
965,манная крупа,г
966,маракуйя,г
967,маргарин,г
968,маргарин сливочный,г
969,мармелад,по вкусу
970,мармелад бутербродный,г
971,марсала,стакан
972,мартини,г
973,мартини красный,г
974,марципан,по вкусу
975,марципан зеленый,г
976,марципан розовый,г
977,маршмеллоу,г
978,маршмеллоу крем,г
979,маршмеллоу мини,г
980,маскарпоне,г
981,маслины,г
982,маслины без косточек,г
983,масло авокадо,г
984,масло виноградных косточек,г
985,масло грецкого ореха,ч. л.
986,масло для фритюра,г
987,масло кедрового ореха,г
988,маслята,г
989,мастика,г
990,мастика желатиновая,г
991,мастика шоколадная,г
992,матча,г
993,мафальдине,г
994,маца,г
995,мацони,г
996,маш,г
997,мед,г
998,мед акации,г
999,мед гречишный,г
1000,мед жидкий,г
1001,мед лавандовый,г
1002,мелисса,г
1003,меренги,шт.
1004,мидии,г
1005,мидии в раковинах,г
1006,мидии в раковинах крупные черные,г
1007,мидии в раковинах мелкие зеленые,г
1008,мидии замороженные,шт.
1009,мидии копченые в масле,г
1010,микрозелень,горсть
1011,миндаль,г
1012,миндаль жареный,г
1013,миндаль измельченный,г
1014,миндальная масса,г
1015,миндальная мука,г
1016,миндальная паста,г
1017,миндальная эссенция,г
1018,миндальное масло,г
1019,миндальное молоко,г
1020,миндальное печенье,г
1021,миндальное пралине,г
1022,миндальные лепестки,г
1023,миндальный ликер,г
1024,миндальный сироп,г
1025,миндальный экстракт,капля
1026,миндаль очищенный,г
1027,миндаль рубленый,г
1028,мини-кукуруза,шт.
1029,минога,г
1030,минтай,г
1031,минтай печень,г
1032,минтай филе,г
1033,мисо-паста,г
1034,мисо-суп,пакет
1035,можжевельник ягоды,г
1036,мойва,г
1037,моллюски,г
1038,молоко,г
1039,"молоко 0,5%",г
1040,"молоко 1,5%",г
1041,"молоко 2,5%",г
1042,"молоко 3,2%",г
1043,"молоко 3,6%",г
1044,молоко 4%,г
1045,молоко 6%,г
1046,молоко козье,г
1047,молоко концентрированное,г
1048,молоко рисовое,мл
1049,молоко сгущенное,г
1050,молоко сгущенное вареное,ст. л.
1051,молоко сгущенное с какао,г
1052,молоко сухое,г
1053,молоко сухое обезжиренное,ст. л.
1054,молоко топленое,г
1055,молочная смесь,г
1056,молочные продукты,г
1057,морепродукты,шт.
1058,морковное пюре,г
1059,морковь,г
1060,морковь вареная,г
1061,морковь крупная,г
1062,морковь молодая,г
1063,морковь по-корейски,г
1064,морковь тертая,шт.
1065,мороженое,по вкусу
1066,мороженое ванильное,г
1067,мороженое клубничное,г
1068,мороженое лимонное,по вкусу
1069,мороженое малиновое,г
1070,мороженое пломбир,г
1071,мороженое шоколадное,мл
1072,морошка,г
1073,морские гребешки,кг
1074,морской коктейль,г
1075,морской коктейль в масле,упаковка
1076,морской коктейль замороженный,г
1077,морской черт,г
1078,морской язык,г
1079,морской язык филе,г
1080,мортаделла,г
1081,моцарелла,г
1082,моцарелла для запекания,г
1083,моцарелла для пиццы,г
1084,моцарелла мини,г
1085,моцарелла с травами,г
1086,моцарелла шарик большой,г
1087,мука,г
1088,мука 1 сорт,г
1089,мука 2 сорт,г
1090,мука «Аладушкин»,г
1091,мука грубого помола,г
1092,мука для темпуры,г
1093,мука из пророщенной пшеницы,ст. л.
1094,мука манитоба,г
1095,мука самоподнимающаяся,г
1096,мука с отрубями,ч. л.
1097,мука с семечками,г
1098,мука хлебопекарная,г
1099,мука цельнозерновая,г
1100,мускат белый,мл
1101,мускатное вино,г
1102,мускатный орех,г
1103,мускатный орех молотый,г
1104,мюсли,г
1105,мягкий творог,г
1106,мясной бульон,г
1107,мясной фарш,г
1108,мясо,г
1109,мясо дикого кабана,г
1110,мясо криля,г
1111,мясо на косточке,кг
1112,мята,г
1113,мята сушеная,г
1114,мятный сироп,г
1115,мятный шнапс,г
1116,нардек,г
1117,нектарины,шт.
1118,нога ягненка без кости,г
1119,нори,г
1120,нуга,г
1121,нуга с орехами,г
1122,нут,г
1123,нутелла,г
1124,нут консервированный,г
1125,нутовая мука,г
1126,облепиха,г
1127,облепиха замороженная,г
1128,облепиховый сироп,стакан
1129,овощи,г
1130,овощная смесь,г
1131,овощная смесь замороженная,г
1132,овощная смесь замороженная для wok,г
1133,овощная смесь по-китайски,г
1134,овощной бульон,по вкусу
1135,овсяная мука,г
1136,овсяное молоко,стакан
1137,овсяное печенье,г
1138,овсяное толокно,г
1139,овсяные зерна,г
1140,овсяные отруби,г
1141,овсяные хлопья,г
1142,овсяные хлопья быстрого приготовления,г
1143,огуречный рассол,стакан
1144,огурцы,г
